Price,Bedroom,Bathroom,Floors,Neighborhood_encoded,Has_Air_condition,Has_Backyard,Has_Balcony,Has_Cafeteria,Has_Cctv,Has_Deck,Has_Drainage,Has_Electricity_backup,Has_Fencing,Has_Frontyard,Has_Garage,Has_Garden,Has_Gym,Has_Intercom,Has_Internet,Has_Jacuzzi,Has_Kids_playground,Has_Lawn,Has_Lift,Has_Maintenance,Has_Microwave,Has_Modular_kitchen,Has_Parking,Has_Security_staff,Has_Solar_water,Has_Store_room,Has_Swimming_pool,Has_Tv_cable,Has_Washing_machine,Has_Water_supply,Has_Water_tank,Has_Water_well,Has_Wifi,Area_Aana,City_encoded,Face_encoded,Road Type_encoded,Log_Price,Area_per_room,Bathroom_per_floor,Amenity_score
11000000.0,3,4.0,3.0,204,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.3125,12,5,3,16.213405921671733,1.1041666666666667,1.3333333333333333,1
50000000.0,5,4.0,2.0,64,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,9.25,9,0,1,17.72753358339242,1.85,2.0,4
32500000.0,6,4.0,2.5,330,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,4.0,9,5,2,17.296750678069195,0.6666666666666666,1.6,2
32000000.0,4,5.0,3.0,199,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13.793750000000015,18,6,1,17.281246492014,3.448437500000004,1.6666666666666667,1
39900000.0,5,4.0,3.0,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.5,9,3,4,17.50188690692275,0.9,1.3333333333333333,1
15000000.0,2,2.0,1.0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0,9,4,3,16.52356082573315,2.5,2.0,0
52500000.0,5,5.0,3.0,64,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,8.0,9,5,1,17.77632374660947,1.6,1.6666666666666667,1
26500000.0,6,6.0,3.0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0,9,0,4,17.0926553286923,0.6666666666666666,2.0,0
25500000.0,6,6.0,3.0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0,9,0,3,17.05418904934434,0.6666666666666666,2.0,0
33000000.0,6,4.0,2.5,243,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,6.0,9,0,1,17.312018149733785,1.0,1.6,1
18500000.0,4,4.0,1.0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.0,9,4,6,16.733281344102608,1.5,4.0,0
62000000.0,7,4.0,1.0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,9,0,6,17.9426449591384,1.4285714285714286,4.0,0
10500000.0,1,1.0,1.0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,9,1,6,16.166885910365842,4.0,1.0,0
20500000.0,7,3.0,3.0,327,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,3.5,1,0,3,16.835935492889124,0.5,1.0,3
22000000.0,1,1.0,1.0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,1,0,1,16.906553056777135,3.5,1.0,0
24000000.0,4,4.0,2.5,328,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,4.0,9,0,1,16.993564429978885,1.0,1.6,1
37000000.0,6,6.0,3.0,98,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.1,9,5,6,17.426428497635523,1.0166666666666666,2.0,1
22000000.0,7,4.0,3.5,147,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,0,4.5,12,4,3,16.906553056777135,0.6428571428571429,1.1428571428571428,1
58500000.0,6,6.0,3.0,277,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.5,9,0,1,17.8845373292961,1.0833333333333333,2.0,1
18500000.0,4,3.0,2.5,147,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,3.0,12,0,3,16.733281344102608,0.75,1.2,1
21000000.0,4,3.0,2.5,147,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,3.5,12,0,3,16.860033043306743,0.875,1.2,1
17500000.0,5,3.0,3.0,147,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,3.125,12,4,6,16.677711496036597,0.625,1.0,2
40000000.0,7,6.4500000000000455,4.0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.0,9,0,1,17.50439003707821,1.0,1.6125000000000114,0
26500000.0,6,6.0,3.0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0,9,7,1,17.0926553286923,0.8333333333333334,2.0,0
22500000.0,6,6.0,3.0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.1,9,2,1,16.929025911619092,0.5166666666666667,2.0,0
60000000.0,6,6.0,3.0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.0,9,5,5,17.909855136853043,1.8333333333333333,2.0,0
40000000.0,9,6.0,4.0,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0,9,0,4,17.50439003707821,1.0,1.5,0
30000000.0,6,5.0,3.0,330,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,3.5,9,0,1,17.216707972959764,0.5833333333333334,1.6666666666666667,2
62450000.000000045,6,6.0,3.0,217,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,12.0,9,0,3,17.989897843244528,2.0,2.0,2
33000000.0,5,6.0,3.0,64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0,9,1,1,17.312018149733785,1.0,2.0,0
30500000.0,5,5.0,2.0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0,9,7,1,17.233237274364523,0.8,2.5,0
28000000.0,6,6.0,3.0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0,9,5,1,17.147715103853763,0.6666666666666666,2.0,0
41000000.0,10,5.0,4.0,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0,9,5,1,17.529082649058825,0.4,1.25,0
27000000.0,6,6.0,3.0,64,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.5,9,0,3,17.11134746100564,0.75,2.0,1
22000000.0,5,5.0,3.0,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.1,9,0,5,16.906553056777135,0.62,1.6666666666666667,0
37000000.0,5,5.0,3.0,64,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,8.0,9,5,1,17.426428497635523,1.6,1.6666666666666667,1
46000000.0,4,3.0,2.5,145,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,6.75,9,6,2,17.6441519761925,1.6875,1.2,2
